Age,Gender,Education,Years_of_Experience,Platforms_Worked,Weekly_Work_Hours,Monthly_Income,Active_Platforms,Top_Challenges,Order_Cancellation_Freq,Confidence_Road_Safety,Training_Interests,Preferred_Learning_Mode,Preferred_Training_Time,Training_Motivation,Mobile_App_Comfort,GPS_Usage_Freq,Follows_Tips_Online,Online_Community_Member,Interested_in_RiderBoost,Recommend_Score,Willingness_to_Pay,Expected_Benefit
30,Male,Graduate Degree,5,"Talabat, Other, Deliveroo",55,1539,3,"Navigation issues, Customer complaints",Rarely,1,"Fitness and health, Customer service, Route optimization",Interactive app,Weekends,"Certification, Peer competition, Skill-building",2,Often,Yes,Yes,No,2,106,"Faster delivery, Fewer complaints"
22,Male,High School,2,Uber Eats,31,3338,2,Low pay,Rarely,4,Customer service,Reading materials,Flexible,Skill-building,4,Often,No,Yes,Maybe,6,25,Faster delivery
34,Male,Graduate Degree,4,"DoorDash, Talabat",47,2480,2,"Unsafe conditions, Fatigue, Navigation issues",Sometimes,2,Communication skills,Videos,Weekends,Better income,5,Always,No,Yes,Maybe,8,17,"Faster delivery, Health & safety"
32,Female,High School,1,"DoorDash, Zomato, Deliveroo",34,1178,1,"Customer complaints, Unsafe conditions",Sometimes,5,"Fitness and health, Route optimization, Customer service",Reading materials,Evenings,Certification,4,Sometimes,No,Yes,Maybe,7,17,Fewer complaints
25,Female,High School,2,"Deliveroo, Other",30,1916,2,"Customer complaints, Low pay, Unsafe conditions",Often,5,"Safety practices, Route optimization, Communication skills",Interactive app,Flexible,"Skill-building, Career growth",1,Often,Yes,No,No,7,33,Health & safety
31,Male,High School,3,"Talabat, Deliveroo",38,1496,1,"Customer complaints, Fatigue",Sometimes,4,"Fitness and health, Safety practices, Communication skills",Reading materials,Mornings,Skill-building,2,Always,Yes,Yes,No,8,9,Social recognition
27,Male,College,1,"Zomato, Talabat",57,1293,1,"Fatigue, Unsafe conditions",Sometimes,3,Communication skills,Audio,Mornings,"Certification, Peer competition",1,Often,Yes,No,Yes,8,9,Fewer complaints
31,Male,Graduate Degree,1,"Zomato, Other",55,1130,2,"Unsafe conditions, Low pay, Fatigue",Rarely,2,"Communication skills, Fitness and health",In-person,Weekends,"Career growth, Certification, Peer competition",3,Always,Yes,Yes,No,3,24,"Social recognition, Faster delivery"
35,Female,College,2,Uber Eats,47,2016,1,"Navigation issues, Customer complaints, Unsafe conditions",Rarely,4,Route optimization,Reading materials,Weekends,"Peer competition, Certification, Better income",5,Always,Yes,No,Yes,7,11,"Fewer complaints, Faster delivery"
43,Female,High School,4,"DoorDash, Zomato, Uber Eats",30,1459,2,"Navigation issues, Unsafe conditions",Sometimes,4,"Route optimization, Fitness and health, Customer service",In-person,Flexible,"Peer competition, Career growth, Better income",3,Always,Yes,Yes,Maybe,7,31,"Faster delivery, Fewer complaints"
20,Male,College,3,"Deliveroo, DoorDash, Other",43,2284,1,"Navigation issues, Fatigue",Sometimes,4,Customer service,Interactive app,Evenings,"Peer competition, Career growth, Certification",2,Always,Yes,Yes,Yes,7,25,"Health & safety, Social recognition"
47,Male,High School,1,Other,48,2297,1,Navigation issues,Sometimes,2,"Route optimization, Safety practices, Fitness and health",In-person,Weekends,"Skill-building, Better income, Certification",5,Rarely,No,Yes,No,3,11,"Better income, Health & safety"
14,Male,College,1,"Zomato, Deliveroo",47,2487,1,"Fatigue, Low pay, Unsafe conditions",Rarely,2,"Customer service, Safety practices, Communication skills, Route optimization",Reading materials,Flexible,"Career growth, Certification",5,Often,Yes,Yes,Yes,10,0,Health & safety
29,Male,College,2,"Deliveroo, Zomato, Uber Eats",27,1374,3,Customer complaints,Sometimes,2,"Customer service, Route optimization, Communication skills, Fitness and health",Reading materials,Evenings,"Better income, Certification",4,Sometimes,No,No,Yes,7,0,Fewer complaints
35,Male,High School,4,Zomato,36,2038,2,"Navigation issues, Fatigue, Low pay",Often,2,"Fitness and health, Route optimization, Communication skills, Safety practices",Videos,Weekends,"Peer competition, Better income",4,Always,Yes,Yes,Yes,8,10,"Social recognition, Health & safety"
32,Prefer not to say,College,2,Zomato,44,2116,2,Fatigue,Rarely,1,"Fitness and health, Safety practices",Reading materials,Weekends,"Career growth, Certification",1,Sometimes,No,Yes,Yes,10,19,"Health & safety, Fewer complaints"
25,Male,College,2,Zomato,50,1563,1,"Fatigue, Navigation issues, Customer complaints",Sometimes,4,"Communication skills, Fitness and health, Customer service",In-person,Flexible,"Peer competition, Better income, Certification",4,Often,Yes,No,Yes,8,26,Social recognition
28,Female,High School,2,Other,23,1414,1,"Low pay, Fatigue, Navigation issues",Always,1,"Communication skills, Safety practices, Fitness and health, Route optimization",Videos,Weekends,Career growth,3,Often,No,Yes,Yes,4,13,Faster delivery
26,Male,College,6,"DoorDash, Zomato, Uber Eats",43,2605,3,"Navigation issues, Fatigue",Sometimes,3,"Fitness and health, Customer service",Reading materials,Mornings,"Peer competition, Career growth",1,Always,Yes,No,Yes,7,6,Fewer complaints
25,Male,High School,2,Deliveroo,46,1914,1,Fatigue,Sometimes,4,Fitness and health,Reading materials,Evenings,"Certification, Career growth, Peer competition",1,Often,Yes,Yes,Yes,8,14,Fewer complaints
37,Female,College,4,"Other, DoorDash",53,2118,1,"Navigation issues, Unsafe conditions, Customer complaints",Never,2,"Communication skills, Route optimization, Fitness and health, Safety practices",Interactive app,Evenings,Career growth,4,Always,No,No,Maybe,7,15,Social recognition
33,Female,College,3,"Talabat, Uber Eats, Deliveroo",52,1389,2,Navigation issues,Sometimes,2,"Fitness and health, Route optimization, Customer service",Videos,Mornings,"Peer competition, Better income, Career growth",4,Rarely,Yes,Yes,Yes,10,28,Better income
24,Prefer not to say,College,1,"Zomato, Talabat, Deliveroo",51,1190,1,"Unsafe conditions, Fatigue, Navigation issues",Never,2,"Safety practices, Communication skills, Customer service, Route optimization",Interactive app,Flexible,"Better income, Skill-building",3,Sometimes,Yes,No,Yes,5,27,"Health & safety, Faster delivery"
37,Male,College,5,"Zomato, DoorDash",37,1515,3,Customer complaints,Always,1,"Customer service, Fitness and health, Communication skills",Interactive app,Mornings,"Peer competition, Better income",1,Often,No,Yes,Maybe,9,5,"Social recognition, Better income"
32,Male,College,3,Zomato,26,1738,2,"Navigation issues, Fatigue, Customer complaints",Often,2,"Communication skills, Safety practices, Customer service",Interactive app,Mornings,"Certification, Peer competition, Career growth",5,Always,No,Yes,Yes,9,20,"Social recognition, Faster delivery"
53,Female,High School,4,"Uber Eats, Other",41,1268,1,Low pay,Often,4,"Customer service, Safety practices, Fitness and health",Audio,Evenings,"Skill-building, Peer competition",3,Always,Yes,Yes,Yes,7,6,"Better income, Faster delivery"
35,Male,College,11,"Talabat, Uber Eats",55,1795,1,Fatigue,Often,5,"Route optimization, Communication skills",Interactive app,Flexible,"Certification, Skill-building, Better income",3,Sometimes,Yes,Yes,Yes,8,7,Health & safety
23,Male,High School,1,"Other, Uber Eats, DoorDash",59,956,1,"Fatigue, Low pay, Navigation issues",Sometimes,4,"Communication skills, Safety practices, Customer service, Fitness and health",In-person,Weekends,Certification,4,Rarely,Yes,Yes,Maybe,5,25,Faster delivery
26,Male,High School,6,Deliveroo,52,1240,3,"Low pay, Navigation issues",Sometimes,3,Customer service,Reading materials,Mornings,"Skill-building, Career growth",3,Always,Yes,Yes,Yes,6,13,"Better income, Faster delivery"
36,Male,High School,2,"Uber Eats, DoorDash",49,2135,2,"Fatigue, Unsafe conditions, Customer complaints",Often,4,"Fitness and health, Safety practices",Audio,Mornings,"Peer competition, Career growth, Skill-building",3,Sometimes,No,Yes,Yes,8,21,"Faster delivery, Better income"
35,Female,High School,4,Deliveroo,49,2102,1,"Fatigue, Navigation issues, Low pay",Always,2,"Communication skills, Customer service",Interactive app,Flexible,"Certification, Skill-building",1,Sometimes,Yes,No,No,7,20,Health & safety
30,Male,College,3,"Deliveroo, Other",39,1604,1,Fatigue,Sometimes,4,"Safety practices, Customer service, Communication skills",Reading materials,Mornings,"Certification, Skill-building, Peer competition",5,Rarely,Yes,Yes,Yes,7,14,Better income
31,Male,High School,2,"DoorDash, Deliveroo, Talabat",44,1291,2,"Fatigue, Low pay, Navigation issues",Always,4,Communication skills,Videos,Flexible,"Better income, Peer competition, Certification",3,Rarely,No,No,Maybe,9,18,"Better income, Faster delivery"
40,Male,College,2,"Talabat, Zomato",62,1286,2,"Low pay, Navigation issues",Sometimes,1,"Fitness and health, Customer service, Safety practices, Route optimization",Videos,Weekends,Better income,2,Often,Yes,Yes,Yes,3,17,"Faster delivery, Health & safety"
61,Male,High School,4,"Talabat, Zomato, Uber Eats",36,1613,1,"Customer complaints, Low pay, Fatigue",Sometimes,5,"Customer service, Communication skills, Safety practices",Reading materials,Flexible,"Certification, Better income, Career growth",3,Sometimes,No,Yes,Yes,8,3,Fewer complaints
34,Male,No schooling,0,"Other, Uber Eats, DoorDash",61,2122,1,"Navigation issues, Fatigue",Sometimes,4,"Route optimization, Communication skills",In-person,Weekends,"Peer competition, Better income, Skill-building",3,Often,Yes,No,No,10,20,"Better income, Faster delivery"
28,Male,College,5,"DoorDash, Zomato, Uber Eats",42,2264,1,Customer complaints,Rarely,3,"Route optimization, Communication skills",Reading materials,Flexible,"Peer competition, Better income",4,Always,Yes,No,Yes,6,8,Social recognition
28,Male,No schooling,2,DoorDash,58,1552,2,"Customer complaints, Navigation issues, Low pay",Never,4,"Safety practices, Customer service, Fitness and health",Reading materials,Mornings,"Skill-building, Certification, Better income",1,Often,Yes,Yes,Maybe,5,4,Social recognition
62,Female,High School,1,Deliveroo,31,1223,3,"Unsafe conditions, Navigation issues, Low pay",Rarely,5,"Safety practices, Route optimization, Customer service, Fitness and health",Audio,Weekends,Certification,4,Always,Yes,Yes,Maybe,6,24,"Health & safety, Fewer complaints"
37,Male,College,2,DoorDash,51,1934,1,"Unsafe conditions, Fatigue, Customer complaints",Sometimes,5,"Communication skills, Route optimization, Customer service",Videos,Mornings,"Certification, Better income, Peer competition",3,Sometimes,Yes,Yes,Yes,4,9,Fewer complaints
37,Male,High School,6,Talabat,38,1388,2,"Navigation issues, Fatigue",Sometimes,5,"Customer service, Communication skills, Fitness and health",Videos,Weekends,"Better income, Skill-building",3,Always,Yes,Yes,Maybe,7,194,"Better income, Health & safety"
40,Female,College,2,"Other, Deliveroo",31,1541,1,Low pay,Sometimes,5,Safety practices,Interactive app,Flexible,"Certification, Peer competition",1,Often,Yes,Yes,Yes,7,26,"Health & safety, Fewer complaints"
30,Female,No schooling,4,"Zomato, Uber Eats",47,2463,1,"Unsafe conditions, Customer complaints, Navigation issues",Always,5,Route optimization,Reading materials,Flexible,Skill-building,5,Always,Yes,Yes,Maybe,8,10,Health & safety
35,Male,High School,2,Zomato,55,2214,1,Fatigue,Sometimes,1,Fitness and health,Reading materials,Flexible,Peer competition,1,Sometimes,Yes,Yes,Yes,7,26,"Social recognition, Better income"
28,Male,College,5,"Zomato, Talabat, Uber Eats",37,1879,3,"Navigation issues, Fatigue, Unsafe conditions",Sometimes,5,"Route optimization, Safety practices, Communication skills",In-person,Evenings,"Skill-building, Peer competition",3,Always,Yes,Yes,Yes,7,11,"Better income, Health & safety"
33,Male,High School,4,"DoorDash, Zomato, Other",30,1164,1,"Low pay, Customer complaints, Unsafe conditions",Rarely,1,Safety practices,Videos,Evenings,"Certification, Career growth",1,Often,Yes,No,Yes,8,14,Faster delivery
29,Female,High School,7,"Uber Eats, Deliveroo",44,1906,2,"Low pay, Fatigue",Never,4,"Communication skills, Route optimization",In-person,Weekends,Certification,5,Often,No,No,Yes,5,20,Better income
31,Prefer not to say,High School,3,Other,44,2331,1,"Navigation issues, Fatigue",Often,4,Customer service,Audio,Evenings,Better income,4,Always,Yes,Yes,Yes,8,35,Faster delivery
35,Female,High School,4,Zomato,50,1612,1,"Low pay, Navigation issues, Fatigue",Sometimes,1,"Safety practices, Route optimization, Customer service",Interactive app,Flexible,Career growth,2,Always,Yes,Yes,Maybe,10,24,"Better income, Faster delivery"
23,Male,College,3,Uber Eats,54,2476,1,Navigation issues,Often,2,Fitness and health,In-person,Evenings,"Peer competition, Skill-building",2,Often,No,Yes,Maybe,5,14,"Faster delivery, Fewer complaints"
47,Female,High School,6,DoorDash,44,2446,2,Fatigue,Rarely,5,"Customer service, Safety practices, Fitness and health",Videos,Evenings,"Career growth, Certification",1,Always,Yes,No,Yes,8,16,"Fewer complaints, Social recognition"
22,Male,College,2,"Deliveroo, Other",64,2632,1,"Low pay, Navigation issues, Fatigue",Sometimes,5,"Safety practices, Communication skills",Audio,Mornings,Peer competition,5,Often,No,Yes,Yes,10,0,"Social recognition, Fewer complaints"
20,Male,College,4,"Talabat, Uber Eats",47,1953,2,Low pay,Rarely,4,"Route optimization, Communication skills",Reading materials,Weekends,"Career growth, Certification",1,Sometimes,No,Yes,Maybe,5,25,Better income
39,Male,High School,3,"Other, Zomato",42,2094,1,Customer complaints,Rarely,1,"Fitness and health, Safety practices",Audio,Weekends,Peer competition,2,Always,Yes,Yes,Yes,9,24,"Faster delivery, Better income"
36,Non-binary,Graduate Degree,3,"Talabat, Zomato, Other",29,2507,1,"Customer complaints, Fatigue",Never,5,"Fitness and health, Route optimization, Communication skills, Customer service",In-person,Weekends,"Career growth, Certification",2,Often,Yes,Yes,Yes,7,18,"Faster delivery, Social recognition"
35,Male,High School,3,"Uber Eats, Deliveroo",42,2024,1,"Customer complaints, Unsafe conditions",Rarely,4,Fitness and health,Videos,Evenings,"Career growth, Certification, Peer competition",4,Always,No,Yes,Yes,9,22,Health & safety
35,Female,Graduate Degree,4,Talabat,42,1549,1,"Unsafe conditions, Customer complaints",Sometimes,5,"Safety practices, Communication skills, Customer service, Route optimization",In-person,Flexible,"Career growth, Certification, Better income",4,Sometimes,Yes,No,Yes,5,0,"Better income, Social recognition"
30,Male,High School,3,"Zomato, Deliveroo, Other",55,1576,1,Customer complaints,Rarely,1,"Safety practices, Fitness and health, Communication skills",Reading materials,Mornings,Career growth,3,Always,No,Yes,Yes,7,4,Better income
23,Male,College,3,Uber Eats,50,1919,1,"Fatigue, Unsafe conditions, Customer complaints",Always,2,Customer service,Reading materials,Weekends,"Better income, Certification, Skill-building",3,Always,Yes,Yes,No,4,33,"Faster delivery, Better income"
31,Male,High School,6,Other,33,1155,2,Low pay,Sometimes,3,Route optimization,Videos,Evenings,"Peer competition, Career growth",4,Always,Yes,Yes,No,8,12,Faster delivery
25,Male,High School,5,"Deliveroo, Uber Eats, Zomato",47,1728,2,"Low pay, Navigation issues",Rarely,4,"Fitness and health, Safety practices",Interactive app,Flexible,"Career growth, Better income",5,Always,Yes,Yes,Yes,8,23,"Social recognition, Fewer complaints"
38,Female,College,5,"Uber Eats, DoorDash, Talabat",52,2348,1,"Low pay, Unsafe conditions",Rarely,4,"Fitness and health, Route optimization, Customer service",Audio,Mornings,Better income,2,Rarely,Yes,Yes,Maybe,8,8,"Faster delivery, Health & safety"
29,Male,College,2,"Other, Talabat, Zomato",60,704,1,"Fatigue, Customer complaints",Sometimes,3,"Safety practices, Customer service",Audio,Mornings,"Better income, Career growth",5,Always,Yes,Yes,Yes,8,11,Social recognition
23,Female,No schooling,1,Deliveroo,54,2567,1,Low pay,Never,3,Safety practices,Reading materials,Weekends,Peer competition,5,Sometimes,No,Yes,Yes,7,34,Faster delivery
27,Female,High School,5,"Other, Talabat",53,2361,1,"Low pay, Navigation issues, Customer complaints",Often,4,"Fitness and health, Route optimization, Safety practices",In-person,Weekends,"Peer competition, Better income, Skill-building",4,Always,No,No,Yes,4,13,"Better income, Social recognition"
33,Female,College,5,Talabat,46,1570,1,"Customer complaints, Low pay, Fatigue",Always,2,"Communication skills, Customer service, Safety practices",In-person,Flexible,"Better income, Career growth",1,Always,No,No,Yes,9,20,Fewer complaints
25,Male,College,6,"Talabat, Zomato",49,2072,3,"Fatigue, Customer complaints, Low pay",Rarely,4,"Safety practices, Route optimization, Communication skills",Interactive app,Evenings,"Skill-building, Career growth",1,Often,Yes,Yes,Yes,7,16,"Faster delivery, Fewer complaints"
23,Male,Graduate Degree,2,"Other, Uber Eats",57,1802,1,Low pay,Sometimes,3,Safety practices,In-person,Flexible,Career growth,3,Always,No,No,Yes,8,17,"Faster delivery, Better income"
32,Male,College,3,Zomato,32,2415,1,"Fatigue, Unsafe conditions",Never,5,"Safety practices, Fitness and health, Customer service, Communication skills",Audio,Weekends,"Career growth, Peer competition",3,Sometimes,No,No,Yes,7,17,"Health & safety, Faster delivery"
32,Prefer not to say,Graduate Degree,0,"Other, Talabat",42,2291,1,"Unsafe conditions, Navigation issues",Sometimes,1,Communication skills,In-person,Flexible,"Certification, Skill-building, Peer competition",1,Often,No,Yes,Yes,10,0,"Social recognition, Better income"
26,Female,College,2,"Other, Talabat",37,1100,1,"Navigation issues, Unsafe conditions, Low pay",Sometimes,5,"Customer service, Route optimization, Communication skills",Interactive app,Evenings,Skill-building,2,Often,Yes,Yes,No,6,20,Faster delivery
26,Male,High School,5,"Uber Eats, Talabat, Other",49,2094,2,Low pay,Rarely,2,"Customer service, Fitness and health, Communication skills, Route optimization",Audio,Mornings,Career growth,5,Always,No,Yes,No,6,10,Fewer complaints
32,Female,High School,2,"Zomato, Other",57,1697,1,"Unsafe conditions, Customer complaints",Rarely,4,Communication skills,In-person,Mornings,"Better income, Peer competition, Certification",1,Rarely,Yes,Yes,Yes,4,33,"Better income, Health & safety"
18,Male,College,4,Talabat,39,1841,1,Low pay,Sometimes,4,"Communication skills, Route optimization, Customer service, Safety practices",Audio,Mornings,"Peer competition, Better income",4,Always,Yes,No,No,7,7,Faster delivery
19,Female,College,3,"Uber Eats, Deliveroo, Talabat",21,1436,2,"Low pay, Customer complaints",Sometimes,1,"Fitness and health, Route optimization, Safety practices",Reading materials,Mornings,Career growth,5,Sometimes,No,Yes,Maybe,10,10,"Social recognition, Faster delivery"
24,Male,No schooling,4,"Uber Eats, DoorDash",41,2674,1,Navigation issues,Rarely,5,"Communication skills, Customer service",Reading materials,Weekends,"Skill-building, Career growth",1,Always,Yes,Yes,No,7,39,Social recognition
28,Female,High School,1,"Zomato, Deliveroo, Talabat",54,2320,2,"Unsafe conditions, Customer complaints, Low pay",Sometimes,1,"Fitness and health, Safety practices, Communication skills, Route optimization",Reading materials,Weekends,Better income,3,Rarely,Yes,Yes,Yes,7,22,"Better income, Social recognition"
32,Male,Graduate Degree,3,"Talabat, Uber Eats, DoorDash",50,1430,2,Low pay,Sometimes,2,"Communication skills, Fitness and health, Customer service",In-person,Evenings,"Skill-building, Career growth",3,Always,No,Yes,Yes,9,5,Health & safety
42,Female,College,3,"Deliveroo, DoorDash",49,1133,1,Fatigue,Often,5,"Route optimization, Safety practices",Interactive app,Evenings,"Better income, Certification",4,Sometimes,Yes,Yes,Maybe,7,17,Social recognition
37,Female,High School,3,"Talabat, Other",42,1607,2,"Navigation issues, Low pay, Fatigue",Rarely,5,"Communication skills, Safety practices, Customer service",Audio,Evenings,Certification,4,Always,No,Yes,Yes,9,3,Fewer complaints
29,Female,High School,0,Uber Eats,32,2017,1,Navigation issues,Often,2,"Route optimization, Customer service",Videos,Evenings,Certification,1,Often,No,Yes,Yes,10,18,"Better income, Faster delivery"
30,Male,High School,5,"Deliveroo, DoorDash, Other",50,1920,2,"Customer complaints, Unsafe conditions",Sometimes,4,"Route optimization, Safety practices",Reading materials,Flexible,"Better income, Career growth, Skill-building",2,Always,Yes,No,Yes,6,7,Faster delivery
22,Male,High School,5,"Deliveroo, Uber Eats",37,2427,1,"Navigation issues, Low pay, Unsafe conditions",Rarely,4,"Fitness and health, Communication skills",Reading materials,Evenings,"Certification, Skill-building",3,Often,Yes,No,No,4,34,Health & safety
30,Male,High School,4,"Talabat, Uber Eats, DoorDash",67,2195,1,"Customer complaints, Fatigue, Unsafe conditions",Sometimes,3,Safety practices,Videos,Mornings,"Certification, Career growth, Better income",1,Always,No,No,No,8,19,Social recognition
28,Male,High School,6,Talabat,51,2285,2,"Navigation issues, Fatigue",Sometimes,4,"Customer service, Fitness and health, Route optimization, Safety practices",Videos,Mornings,"Better income, Career growth",4,Often,Yes,No,Yes,8,20,Health & safety
33,Male,College,1,Other,39,1963,3,"Low pay, Navigation issues",Always,1,"Communication skills, Route optimization, Safety practices",In-person,Mornings,"Peer competition, Better income, Certification",1,Always,No,No,Yes,5,24,Faster delivery
23,Female,High School,6,Talabat,39,1105,3,"Customer complaints, Navigation issues",Rarely,2,"Safety practices, Customer service, Route optimization, Fitness and health",Audio,Flexible,"Skill-building, Certification",2,Rarely,No,Yes,Maybe,6,26,Social recognition
34,Male,College,5,"Zomato, Deliveroo, Other",44,1702,2,Navigation issues,Sometimes,4,"Communication skills, Fitness and health",Reading materials,Evenings,"Peer competition, Better income, Certification",5,Often,Yes,Yes,Yes,6,8,Better income
42,Male,College,3,"Talabat, Other",43,2330,1,"Low pay, Fatigue, Navigation issues",Sometimes,5,"Safety practices, Customer service, Route optimization",Interactive app,Mornings,"Skill-building, Better income, Certification",3,Often,Yes,Yes,Yes,7,16,"Social recognition, Health & safety"
29,Male,High School,5,Talabat,56,1774,1,"Low pay, Unsafe conditions, Navigation issues",Always,2,"Communication skills, Customer service, Safety practices, Route optimization",In-person,Mornings,"Better income, Peer competition, Skill-building",3,Rarely,No,Yes,Yes,9,11,"Social recognition, Health & safety"
33,Male,College,1,"DoorDash, Talabat, Other",47,2052,1,"Unsafe conditions, Customer complaints",Sometimes,4,"Communication skills, Safety practices, Route optimization, Fitness and health",In-person,Mornings,"Career growth, Peer competition, Certification",5,Sometimes,Yes,Yes,Maybe,9,36,"Faster delivery, Health & safety"
36,Female,High School,1,"Deliveroo, DoorDash, Uber Eats",38,1641,1,"Fatigue, Low pay, Unsafe conditions",Always,1,"Fitness and health, Communication skills, Customer service",Interactive app,Mornings,Career growth,5,Always,Yes,No,No,9,0,"Fewer complaints, Health & safety"
27,Male,College,2,"Talabat, Zomato",64,1285,1,"Customer complaints, Unsafe conditions, Navigation issues",Always,3,"Communication skills, Fitness and health, Safety practices, Customer service",Interactive app,Weekends,Skill-building,5,Always,No,Yes,Maybe,6,9,"Faster delivery, Health & safety"
32,Female,High School,2,"Zomato, Uber Eats, Other",45,1738,3,Customer complaints,Rarely,3,Route optimization,Interactive app,Evenings,Career growth,2,Always,No,Yes,Yes,10,14,"Faster delivery, Social recognition"
30,Male,College,1,"Zomato, Deliveroo, Talabat",53,1955,1,"Low pay, Customer complaints",Often,2,"Communication skills, Fitness and health, Safety practices, Customer service",Videos,Evenings,Career growth,1,Often,No,Yes,Yes,7,16,"Faster delivery, Health & safety"
31,Prefer not to say,College,5,Talabat,39,1472,1,"Low pay, Fatigue, Unsafe conditions",Always,1,"Safety practices, Customer service",Reading materials,Flexible,"Skill-building, Certification",3,Often,Yes,Yes,Yes,6,16,"Faster delivery, Fewer complaints"
24,Female,High School,2,"Talabat, Zomato, Deliveroo",49,1682,1,"Fatigue, Unsafe conditions",Rarely,1,"Route optimization, Customer service, Fitness and health",Videos,Weekends,Better income,5,Always,No,No,Maybe,4,15,Health & safety
30,Male,High School,4,"Deliveroo, Talabat, Other",48,1330,3,Fatigue,Sometimes,1,Route optimization,Reading materials,Flexible,"Peer competition, Skill-building",4,Sometimes,No,Yes,Yes,6,13,"Faster delivery, Better income"
34,Female,College,2,"DoorDash, Other",26,2360,2,Low pay,Sometimes,4,"Communication skills, Safety practices, Customer service",Videos,Mornings,"Certification, Peer competition",2,Always,No,Yes,Yes,8,17,"Health & safety, Faster delivery"
42,Male,College,1,"Talabat, DoorDash, Other",65,1653,2,"Low pay, Customer complaints",Rarely,3,Route optimization,Audio,Flexible,"Certification, Career growth, Peer competition",4,Often,No,Yes,No,4,20,"Faster delivery, Fewer complaints"
38,Female,High School,4,Zomato,58,2526,1,Fatigue,Never,1,"Customer service, Safety practices, Communication skills",Reading materials,Mornings,Career growth,3,Always,Yes,No,Yes,5,33,Health & safety
47,Male,College,1,"Talabat, Other, Deliveroo",41,2564,3,"Navigation issues, Unsafe conditions, Customer complaints",Rarely,5,"Fitness and health, Communication skills, Customer service, Route optimization",In-person,Mornings,"Skill-building, Certification, Better income",2,Often,No,Yes,Yes,6,33,"Health & safety, Social recognition"
24,Female,High School,3,"Other, DoorDash, Talabat",34,1759,1,Low pay,Rarely,4,"Fitness and health, Communication skills",Reading materials,Evenings,"Peer competition, Skill-building, Better income",3,Always,No,Yes,Maybe,5,18,"Health & safety, Social recognition"
37,Female,College,0,DoorDash,48,1296,3,"Unsafe conditions, Customer complaints",Sometimes,5,"Fitness and health, Safety practices, Route optimization, Customer service",Reading materials,Evenings,Certification,5,Never,Yes,No,Yes,5,10,"Fewer complaints, Social recognition"
31,Female,High School,7,"Deliveroo, Zomato, Uber Eats",46,757,2,"Navigation issues, Unsafe conditions, Customer complaints",Rarely,5,"Customer service, Safety practices, Route optimization",Reading materials,Evenings,"Certification, Peer competition",1,Always,Yes,Yes,Yes,9,129,"Health & safety, Faster delivery"
48,Female,College,5,"Uber Eats, Deliveroo",49,1064,1,"Low pay, Customer complaints",Often,2,"Route optimization, Fitness and health, Customer service",Audio,Evenings,"Skill-building, Peer competition, Certification",5,Often,No,Yes,Yes,4,2,Faster delivery
24,Male,High School,3,"Uber Eats, DoorDash",47,1113,1,Customer complaints,Often,4,"Safety practices, Fitness and health",Videos,Evenings,Peer competition,4,Always,Yes,Yes,Yes,7,25,Faster delivery
23,Male,High School,6,"Other, DoorDash",50,2489,2,Fatigue,Never,5,"Safety practices, Fitness and health, Communication skills",In-person,Weekends,"Certification, Career growth",2,Always,Yes,No,Yes,8,15,Social recognition
25,Male,High School,1,Talabat,59,1858,1,"Unsafe conditions, Low pay, Customer complaints",Sometimes,4,"Customer service, Fitness and health, Communication skills",Videos,Evenings,"Skill-building, Peer competition, Certification",3,Sometimes,Yes,Yes,No,6,19,"Health & safety, Social recognition"
13,Male,High School,4,"Zomato, Deliveroo",51,1995,3,"Low pay, Navigation issues, Customer complaints",Sometimes,1,"Fitness and health, Safety practices",Videos,Flexible,Certification,3,Often,Yes,Yes,Yes,7,18,"Fewer complaints, Faster delivery"
26,Female,College,3,"Talabat, Uber Eats, Zomato",35,690,1,"Customer complaints, Navigation issues",Always,2,"Customer service, Safety practices",Interactive app,Mornings,Better income,1,Often,Yes,Yes,Maybe,7,8,"Faster delivery, Health & safety"
24,Male,High School,4,"Deliveroo, Talabat, Zomato",59,1201,1,"Customer complaints, Unsafe conditions",Never,3,Communication skills,Audio,Evenings,"Skill-building, Certification, Career growth",4,Often,Yes,Yes,Yes,8,7,Social recognition
31,Non-binary,College,6,"Other, Talabat, Uber Eats",61,2244,1,Fatigue,Rarely,5,"Route optimization, Communication skills",Interactive app,Weekends,"Peer competition, Skill-building, Career growth",2,Often,No,Yes,Yes,10,10,"Fewer complaints, Health & safety"
33,Female,No schooling,4,"Uber Eats, DoorDash, Zomato",77,1943,1,"Customer complaints, Fatigue",Always,2,"Route optimization, Safety practices",Audio,Flexible,Better income,1,Often,No,Yes,Yes,4,20,Faster delivery
45,Female,High School,4,Other,34,1726,1,"Unsafe conditions, Customer complaints, Low pay",Always,2,"Communication skills, Safety practices, Customer service",Videos,Flexible,Skill-building,4,Often,No,Yes,No,5,14,Fewer complaints
38,Male,High School,0,Talabat,47,10174,1,"Navigation issues, Fatigue",Often,2,Safety practices,Videos,Mornings,"Career growth, Skill-building",2,Always,Yes,Yes,Yes,5,0,Health & safety
25,Female,No schooling,1,Other,24,2618,2,Customer complaints,Often,2,Safety practices,Audio,Flexible,Better income,3,Always,No,Yes,Maybe,7,5,"Faster delivery, Health & safety"
